Filters,Convolutional params,Convolutional time,Sequential params,Sequential time,Residual params,Residual time
81,59130.0,0.021876208305358885,118422.0,0.04820122623443603,118422.0,0.051482767105102537
83,62084.0,0.02228973388671875,124334.0,0.04985061168670654,124334.0,0.05267654037475586
85,65110.0,0.02183975601196289,130390.0,0.049232519149780274,130390.0,0.05222840690612793
87,68208.0,0.021962292671203615,136590.0,0.0496915807723999,136590.0,0.05235877799987793
89,71378.0,0.021750166893005372,142934.0,0.04910598468780518,142934.0,0.05201952457427979
91,74620.0,0.021423219680786133,149422.0,0.04891157245635986,149422.0,0.05237614059448242
93,77934.0,0.021709505081176757,156054.0,0.04964116096496582,156054.0,0.05308303165435791
95,81320.0,0.021859687805175783,162830.0,0.04984847927093506,162830.0,0.053311016082763674
97,84778.0,0.02881054973602295,169750.0,0.06354948806762695,169750.0,0.0673200216293335
99,88308.0,0.028815884590148926,176814.0,0.06423268222808838,176814.0,0.06709951400756836
101,91910.0,0.029001830101013183,184022.0,0.06426118564605712,184022.0,0.068410400390625
103,95584.0,0.02866733932495117,191374.0,0.06448980808258056,191374.0,0.06831189823150635
105,99330.0,0.03254804515838623,198870.0,0.0744943037033081,198870.0,0.08156647491455078
107,103148.0,0.03241623973846436,206510.0,0.07380309581756592,206510.0,0.07932170677185059
109,107038.0,0.02963964557647705,214294.0,0.0671726713180542,214294.0,0.07117597389221192
111,111000.0,0.02879489040374756,222222.0,0.0645590181350708,222222.0,0.06912183856964112
113,115034.0,0.03470857048034668,230294.0,0.07771288681030274,230294.0,0.08286730098724365
115,119140.0,0.03624542140960693,238510.0,0.0795196828842163,238510.0,0.08359808826446533
117,123318.0,0.03842348766326904,246870.0,0.08527069759368897,246870.0,0.09140220928192139
119,127568.0,0.035878652572631835,255374.0,0.08013416671752929,255374.0,0.08506678485870361
121,131890.0,0.03552555370330811,264022.0,0.07882085990905761,264022.0,0.08432065963745117
123,136284.0,0.03591657829284668,272814.0,0.08018609523773193,272814.0,0.0845011625289917
125,140750.0,0.03656902980804443,281750.0,0.08198823165893555,281750.0,0.08737541770935059
127,145288.0,0.036502769470214844,290830.0,0.08135283946990966,290830.0,0.08616796398162842
129,149898.0,0.05054091548919678,300054.0,0.11182087230682373,300054.0,0.11707644557952882
131,154580.0,0.05020365715026855,309422.0,0.10977342128753662,309422.0,0.11677604293823242
133,159334.0,0.050346325874328614,318934.0,0.11063682651519775,318934.0,0.11723568534851074
135,164160.0,0.0503529224395752,328590.0,0.11011226749420167,328590.0,0.11610054397583008
137,169058.0,0.05044954395294189,338390.0,0.11059242153167724,338390.0,0.11684317970275879
139,174028.0,0.048438051223754885,348334.0,0.10691656875610352,348334.0,0.11352442264556885
141,179070.0,0.04426627731323242,358422.0,0.09909949111938476,358422.0,0.10538808536529541
143,184184.0,0.04744083309173584,368654.0,0.10601049995422364,368654.0,0.11142363929748535
145,189370.0,0.05681315994262695,379030.0,0.1227565393447876,379030.0,0.1291088809967041
147,194628.0,0.05606020355224609,389550.0,0.12324033069610596,389550.0,0.12941008186340333
149,199958.0,0.057352672576904296,400214.0,0.12983283519744873,400214.0,0.140285400390625
151,205360.0,0.05819695472717285,411022.0,0.1256103105545044,411022.0,0.13168801879882813
153,210834.0,0.0556548433303833,421974.0,0.12165696144104005,421974.0,0.12968775653839112
155,216380.0,0.05778714942932129,433070.0,0.12501366901397706,433070.0,0.13224304103851317
157,221998.0,0.05800202465057373,444310.0,0.12671257877349854,444310.0,0.1353380823135376
159,227688.0,0.057781524658203125,455694.0,0.1275764331817627,455694.0,0.13412168025970458
161,233450.0,0.06875247192382812,467222.0,0.14750129795074463,467222.0,0.15601342964172363
163,239284.0,0.07011509323120117,478894.0,0.1548464879989624,478894.0,0.16167251014709472
165,245190.0,0.08177932167053223,490710.0,0.1884642915725708,490710.0,0.19679524993896486
167,251168.0,0.09207592010498047,502670.0,0.21401111030578612,502670.0,0.22491200447082518
169,257218.0,0.10135321140289306,514774.0,0.2235360736846924,514774.0,0.24849670600891113
171,263340.0,0.08874808979034424,527022.0,0.18976092433929442,527022.0,0.20701640510559083
173,269534.0,0.08723110008239746,539414.0,0.18422060203552246,539414.0,0.20079271793365477
175,275800.0,0.08639525127410888,551950.0,0.18855024909973145,551950.0,0.1991030387878418
177,282138.0,0.08977457714080811,564630.0,0.203085054397583,564630.0,0.2080726547241211
179,288548.0,0.095100248336792,577454.0,0.21469318103790283,577454.0,0.2286503686904907
181,295030.0,0.10080364608764648,590422.0,0.22958767414093018,590422.0,0.2387319812774658
183,301584.0,0.08133798599243164,603534.0,0.18076354789733887,603534.0,0.18712975025177003
185,308210.0,0.075800687789917,616790.0,0.16761996269226073,616790.0,0.17698146152496338
187,314908.0,0.07675891208648682,630190.0,0.1665046501159668,630190.0,0.17542667961120606
189,321678.0,0.07416868209838867,643734.0,0.15979401206970215,643734.0,0.16900926303863525
191,328520.0,0.07299896335601806,657422.0,0.15900367736816406,657422.0,0.1676326675415039
193,335434.0,0.08774895572662353,671254.0,0.18949963283538818,671254.0,0.19857769584655763
195,342420.0,0.09002410888671875,685230.0,0.19491366386413575,685230.0,0.20464320182800294
197,349478.0,0.08611947059631347,699350.0,0.1860501651763916,699350.0,0.1943215208053589
199,356608.0,0.08718963623046876,713614.0,0.18742120552062988,713614.0,0.19701456260681152
201,363810.0,0.08634389877319336,728022.0,0.18559933567047118,728022.0,0.19467454624176025
203,371084.0,0.08589556980133056,742574.0,0.18557096195220948,742574.0,0.1967135076522827
205,378430.0,0.08903201866149903,757270.0,0.1913468189239502,757270.0,0.20246368885040283
207,385848.0,0.08737482452392578,772110.0,0.18908690261840821,772110.0,0.19916136741638182
209,393338.0,0.1020073471069336,787094.0,0.2192915964126587,787094.0,0.23029840469360352
211,400900.0,0.10215392971038818,802222.0,0.221058500289917,802222.0,0.23321588897705078
213,408534.0,0.11412132835388183,817494.0,0.2504787559509277,817494.0,0.26564243125915526
215,416240.0,0.10412055301666259,832910.0,0.22629183673858644,832910.0,0.23693747520446778
217,424018.0,0.10255030918121338,848470.0,0.2201953754425049,848470.0,0.2332797794342041
219,431868.0,0.10086184120178222,864174.0,0.21593396949768068,864174.0,0.22787837409973144
221,439790.0,0.10290233802795411,880022.0,0.22351184844970703,880022.0,0.23639723491668702
223,447784.0,0.10007480430603027,896014.0,0.21745598411560058,896014.0,0.2300955171585083
225,455850.0,0.11261270904541015,912150.0,0.24137580966949462,912150.0,0.25392244148254395
227,463988.0,0.12431556606292725,928430.0,0.269675799369812,928430.0,0.2880949840545654
229,472198.0,0.12388681507110595,944854.0,0.2701969394683838,944854.0,0.2813580503463745
